period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,parent_metro_region_metro_code,last_updated,period_begin_in_years,period_begin_in_months,period_end_in_years,period_end_in_months
2021-08-01,2021-08-31,30,place,6,14689,False,St. Augusta,Minnesota,MN,Single Family Residential,6,312000.0,319900.0,140.487887777,130.974842767,16,11.0,0.7,21,1.03247143,0.6875,41060,2026-02-16 14:39:14.119 Z,2021,Aug,2021,Aug
2022-03-01,2022-03-31,30,place,6,30390,False,Newfane,New York,NY,All Residential,-1,181000.0,202450.0,140.527950311,134.694857712,3,5.0,1.7,92,1.111233913,0.6666666667,15380,2026-02-16 14:39:14.119 Z,2022,Mar,2022,Mar
2016-09-01,2016-09-30,30,place,6,18083,False,Simpsonville,Kentucky,KY,Single Family Residential,6,145200.0,187450.0,100.082554768,112.170379727,6,13.0,2.2,23,0.9777682555,0.3333333333,31140,2026-02-16 14:39:14.119 Z,2016,Sep,2016,Sep
2025-12-01,2025-12-31,30,place,6,11261,False,Maize,Kansas,KS,Single Family Residential,6,290000.0,253500.0,158.808120498,138.045278851,9,53.0,5.9,62,0.9894459159,0.2222222222,48620,2026-02-16 14:39:14.119 Z,2025,Dec,2025,Dec
2018-03-01,2018-03-31,30,place,6,30755,False,Loganville,Georgia,GA,All Residential,-1,242508.5,225000.0,95.634095634,96.144480519,44,86.0,2.0,56,0.9989707669,0.5,12060,2026-02-16 14:39:14.119 Z,2018,Mar,2018,Mar
2013-10-01,2013-10-31,30,place,6,18151,False,Winona,Minnesota,MN,Multi-Family (2-4 Unit),4,144500.0,104450.0,52.372178504,78.133101525,4,7.0,1.8,881,0.9398368207,0.0,49100,2026-02-16 14:39:14.119 Z,2013,Oct,2013,Oct
2013-05-01,2013-05-31,30,place,6,10315,False,Iona,Idaho,ID,Single Family Residential,6,168000.0,153500.0,71.904497501,58.374681702,3,10.0,3.3,109,,0.0,26820,2026-02-16 14:39:14.119 Z,2013,May,2013,May
2013-08-01,2013-08-31,30,place,6,1855,False,Bedford,Texas,TX,Condo/Co-op,3,84250.0,,83.08678501,,3,1.0,0.3,67,0.9724094555,0.0,23104,2026-02-16 14:39:14.119 Z,2013,Aug,2013,Aug
2019-06-01,2019-06-30,30,place,6,14085,False,Ocean Beach,New York,NY,Single Family Residential,6,700000.0,899000.0,,460.553278689,1,3.0,3.0,206,0.8805031447,0.0,35004,2026-02-16 14:39:14.119 Z,2019,Jun,2019,Jun
2019-02-01,2019-02-28,30,place,6,1786,False,Blasdell,New York,NY,Townhouse,13,162000.0,,56.66316894,,1,,,7,1.013133208,1.0,15380,2026-02-16 14:39:14.119 Z,2019,Feb,2019,Feb
